2018-11-05 20:20:55 INFO  Crawler:218 - ============== Start Crawler =============
2018-11-05 20:20:55 INFO  Crawler:219 - CONFIG FILE    : ./config/config_naver_news.json
2018-11-05 20:20:55 INFO  Crawler:223 - CRAWLER NAME   : naver_news
2018-11-05 20:20:55 INFO  Crawler:224 - CRAWLER TYPE   : SCENARIO_STATIC
2018-11-05 20:20:55 INFO  Crawler:225 - CRAWLER DELAY  : 3 sec
2018-11-05 20:20:55 INFO  Crawler:226 - IGNORE ROBOTS  : true
2018-11-05 20:20:55 INFO  Crawler:227 - LIMIT_COUNT    : -1
2018-11-05 20:20:55 INFO  Crawler:228 - FILTER COUNT   : 0
2018-11-05 20:20:55 INFO  Crawler:232 - SCENARIO COUNT : 4
2018-11-05 20:20:55 INFO  Crawler:233 - COLLECT COUNT  : 1
2018-11-05 20:20:55 INFO  Crawler:234 - SAVE TYPE      : DB
2018-11-05 20:20:55 INFO  Crawler:235 - SAVE HTML      : false
2018-11-05 20:20:55 INFO  Crawler:236 - ==========================================
2018-11-05 20:21:00 ERROR Crawler:258 - [ERR URL] https://news.naver.com/main/list.nhn?mode=LPOD&date=20181105&mid=sec&oid=138&listType=title
2018-11-05 20:21:00 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-05 20:21:00 INFO  Crawler:265 - [Progress 1] save : 0, err : 1, remain_work : 52, total : 53
2018-11-05 20:24:02 INFO  Crawler:265 - [Progress 60] save : 18, err : 3, remain_work : 94, total : 154
2018-11-05 20:24:05 INFO  Crawler:265 - [Progress 61] save : 18, err : 3, remain_work : 93, total : 154
2018-11-05 20:24:08 INFO  Crawler:265 - [Progress 62] save : 19, err : 3, remain_work : 92, total : 154
2018-11-05 20:24:12 INFO  Crawler:265 - [Progress 63] save : 19, err : 3, remain_work : 91, total : 154
2018-11-05 20:24:15 INFO  Crawler:265 - [Progress 64] save : 19, err : 3, remain_work : 90, total : 154
2018-11-05 20:24:18 INFO  Crawler:265 - [Progress 65] save : 19, err : 3, remain_work : 89, total : 154
2018-11-05 20:24:21 INFO  Crawler:265 - [Progress 66] save : 19, err : 3, remain_work : 88, total : 154
2018-11-05 20:24:24 INFO  Crawler:265 - [Progress 67] save : 19, err : 3, remain_work : 87, total : 154
2018-11-05 20:24:27 INFO  Crawler:265 - [Progress 68] save : 19, err : 3, remain_work : 86, total : 154
2018-11-05 20:24:30 INFO  Crawler:265 - [Progress 69] save : 19, err : 3, remain_work : 85, total : 154
2018-11-05 20:24:33 INFO  Crawler:265 - [Progress 70] save : 19, err : 3, remain_work : 84, total : 154
2018-11-05 20:24:36 INFO  Crawler:265 - [Progress 71] save : 19, err : 3, remain_work : 83, total : 154
2018-11-05 20:24:39 INFO  Crawler:265 - [Progress 72] save : 19, err : 3, remain_work : 82, total : 154
2018-11-05 20:24:42 INFO  Crawler:265 - [Progress 73] save : 19, err : 3, remain_work : 81, total : 154
2018-11-05 20:24:46 INFO  Crawler:265 - [Progress 74] save : 19, err : 3, remain_work : 80, total : 154
2018-11-05 20:24:49 INFO  Crawler:265 - [Progress 75] save : 19, err : 3, remain_work : 79, total : 154
2018-11-05 20:24:52 INFO  Crawler:265 - [Progress 76] save : 19, err : 3, remain_work : 78, total : 154
2018-11-05 20:24:55 INFO  Crawler:265 - [Progress 77] save : 19, err : 3, remain_work : 77, total : 154
2018-11-05 20:24:58 INFO  Crawler:265 - [Progress 78] save : 19, err : 3, remain_work : 76, total : 154
2018-11-05 20:25:01 INFO  Crawler:265 - [Progress 79] save : 19, err : 3, remain_work : 75, total : 154
2018-11-05 20:25:04 INFO  Crawler:265 - [Progress 80] save : 19, err : 3, remain_work : 74, total : 154
2018-11-05 20:25:07 INFO  Crawler:265 - [Progress 81] save : 20, err : 3, remain_work : 73, total : 154
2018-11-05 20:25:10 INFO  Crawler:265 - [Progress 82] save : 21, err : 3, remain_work : 72, total : 154
2018-11-05 20:25:13 INFO  Crawler:265 - [Progress 83] save : 21, err : 3, remain_work : 71, total : 154
2018-11-05 20:25:17 INFO  Crawler:265 - [Progress 84] save : 21, err : 3, remain_work : 70, total : 154
2018-11-05 20:25:20 INFO  Crawler:265 - [Progress 85] save : 21, err : 3, remain_work : 69, total : 154
2018-11-05 20:25:23 INFO  Crawler:265 - [Progress 86] save : 22, err : 3, remain_work : 68, total : 154
2018-11-05 20:25:26 INFO  Crawler:265 - [Progress 87] save : 23, err : 3, remain_work : 67, total : 154
2018-11-05 20:25:29 INFO  Crawler:265 - [Progress 88] save : 23, err : 3, remain_work : 66, total : 154
2018-11-05 20:25:32 INFO  Crawler:265 - [Progress 89] save : 23, err : 3, remain_work : 65, total : 154
2018-11-05 20:25:35 INFO  Crawler:265 - [Progress 90] save : 23, err : 3, remain_work : 64, total : 154
2018-11-05 20:25:38 INFO  Crawler:265 - [Progress 91] save : 23, err : 3, remain_work : 63, total : 154
2018-11-05 20:25:41 INFO  Crawler:265 - [Progress 92] save : 23, err : 3, remain_work : 62, total : 154
2018-11-05 20:25:44 INFO  Crawler:265 - [Progress 93] save : 23, err : 3, remain_work : 61, total : 154
2018-11-05 20:25:47 INFO  Crawler:265 - [Progress 94] save : 24, err : 3, remain_work : 60, total : 154
2018-11-05 20:25:50 INFO  Crawler:265 - [Progress 95] save : 25, err : 3, remain_work : 59, total : 154
2018-11-05 20:25:54 INFO  Crawler:265 - [Progress 96] save : 25, err : 3, remain_work : 58, total : 154
2018-11-05 20:25:57 INFO  Crawler:265 - [Progress 97] save : 25, err : 3, remain_work : 57, total : 154
2018-11-05 20:26:00 INFO  Crawler:265 - [Progress 98] save : 26, err : 3, remain_work : 56, total : 154
2018-11-05 20:26:05 INFO  Crawler:265 - [Progress 99] save : 27, err : 3, remain_work : 55, total : 154
2018-11-05 20:26:08 INFO  Crawler:265 - [Progress 100] save : 27, err : 3, remain_work : 54, total : 154
2018-11-05 20:26:11 INFO  Crawler:265 - [Progress 101] save : 27, err : 3, remain_work : 53, total : 154
2018-11-05 20:26:14 INFO  Crawler:265 - [Progress 102] save : 27, err : 3, remain_work : 52, total : 154
2018-11-05 20:26:17 INFO  Crawler:265 - [Progress 103] save : 27, err : 3, remain_work : 51, total : 154
2018-11-05 20:26:20 INFO  Crawler:265 - [Progress 104] save : 27, err : 3, remain_work : 50, total : 154
2018-11-05 20:26:24 INFO  Crawler:265 - [Progress 105] save : 27, err : 3, remain_work : 49, total : 154
2018-11-05 20:26:27 INFO  Crawler:265 - [Progress 106] save : 27, err : 3, remain_work : 48, total : 154
2018-11-05 20:26:30 INFO  Crawler:265 - [Progress 107] save : 27, err : 3, remain_work : 47, total : 154
2018-11-05 20:26:33 INFO  Crawler:265 - [Progress 108] save : 27, err : 3, remain_work : 46, total : 154
2018-11-05 20:26:36 INFO  Crawler:265 - [Progress 109] save : 27, err : 3, remain_work : 45, total : 154
2018-11-05 20:26:39 INFO  Crawler:265 - [Progress 110] save : 27, err : 3, remain_work : 44, total : 154
2018-11-05 20:26:42 INFO  Crawler:265 - [Progress 111] save : 27, err : 3, remain_work : 43, total : 154
2018-11-05 20:26:45 INFO  Crawler:265 - [Progress 112] save : 27, err : 3, remain_work : 42, total : 154
2018-11-05 20:26:48 INFO  Crawler:265 - [Progress 113] save : 27, err : 3, remain_work : 41, total : 154
2018-11-05 20:26:51 INFO  Crawler:265 - [Progress 114] save : 27, err : 3, remain_work : 40, total : 154
2018-11-05 20:26:55 INFO  Crawler:265 - [Progress 115] save : 27, err : 3, remain_work : 39, total : 154
2018-11-05 20:26:58 INFO  Crawler:265 - [Progress 116] save : 27, err : 3, remain_work : 38, total : 154
2018-11-05 20:27:01 INFO  Crawler:265 - [Progress 117] save : 27, err : 3, remain_work : 37, total : 154
2018-11-05 20:27:04 INFO  Crawler:265 - [Progress 118] save : 27, err : 3, remain_work : 36, total : 154
2018-11-05 20:27:07 INFO  Crawler:265 - [Progress 119] save : 28, err : 3, remain_work : 35, total : 154
2018-11-05 20:27:10 INFO  Crawler:265 - [Progress 120] save : 29, err : 3, remain_work : 34, total : 154
2018-11-05 20:27:13 INFO  Crawler:265 - [Progress 121] save : 29, err : 3, remain_work : 33, total : 154
2018-11-05 20:27:16 INFO  Crawler:265 - [Progress 122] save : 29, err : 3, remain_work : 32, total : 154
2018-11-05 20:27:19 INFO  Crawler:265 - [Progress 123] save : 29, err : 3, remain_work : 31, total : 154
2018-11-05 20:27:22 INFO  Crawler:265 - [Progress 124] save : 30, err : 3, remain_work : 30, total : 154
2018-11-05 20:27:26 INFO  Crawler:265 - [Progress 125] save : 31, err : 3, remain_work : 29, total : 154
2018-11-05 20:27:29 INFO  Crawler:265 - [Progress 126] save : 31, err : 3, remain_work : 28, total : 154
2018-11-05 20:27:32 INFO  Crawler:265 - [Progress 127] save : 31, err : 3, remain_work : 27, total : 154
2018-11-05 20:27:35 INFO  Crawler:265 - [Progress 128] save : 31, err : 3, remain_work : 26, total : 154
2018-11-05 20:27:38 INFO  Crawler:265 - [Progress 129] save : 31, err : 3, remain_work : 25, total : 154
2018-11-05 20:27:41 INFO  Crawler:265 - [Progress 130] save : 31, err : 3, remain_work : 24, total : 154
2018-11-05 20:27:44 INFO  Crawler:265 - [Progress 131] save : 31, err : 3, remain_work : 23, total : 154
2018-11-05 20:27:47 INFO  Crawler:265 - [Progress 132] save : 32, err : 3, remain_work : 22, total : 154
2018-11-05 20:27:50 INFO  Crawler:265 - [Progress 133] save : 33, err : 3, remain_work : 21, total : 154
2018-11-05 20:27:53 INFO  Crawler:265 - [Progress 134] save : 33, err : 3, remain_work : 20, total : 154
2018-11-05 20:27:56 INFO  Crawler:265 - [Progress 135] save : 33, err : 3, remain_work : 19, total : 154
2018-11-05 20:28:02 INFO  Crawler:265 - [Progress 136] save : 34, err : 3, remain_work : 18, total : 154
2018-11-05 20:28:05 INFO  Crawler:265 - [Progress 137] save : 35, err : 3, remain_work : 17, total : 154
2018-11-05 20:28:08 INFO  Crawler:265 - [Progress 138] save : 35, err : 3, remain_work : 16, total : 154
2018-11-05 20:28:11 INFO  Crawler:265 - [Progress 139] save : 35, err : 3, remain_work : 15, total : 154
2018-11-05 20:28:14 INFO  Crawler:265 - [Progress 140] save : 35, err : 3, remain_work : 14, total : 154
2018-11-05 20:28:17 INFO  Crawler:265 - [Progress 141] save : 35, err : 3, remain_work : 13, total : 154
2018-11-05 20:28:20 INFO  Crawler:265 - [Progress 142] save : 35, err : 3, remain_work : 12, total : 154
2018-11-05 20:28:23 INFO  Crawler:265 - [Progress 143] save : 35, err : 3, remain_work : 11, total : 154
2018-11-05 20:28:26 INFO  Crawler:265 - [Progress 144] save : 35, err : 3, remain_work : 10, total : 154
2018-11-05 20:28:30 INFO  Crawler:265 - [Progress 145] save : 35, err : 3, remain_work : 9, total : 154
2018-11-05 20:28:33 INFO  Crawler:265 - [Progress 146] save : 35, err : 3, remain_work : 8, total : 154
2018-11-05 20:28:36 INFO  Crawler:265 - [Progress 147] save : 36, err : 3, remain_work : 7, total : 154
2018-11-05 20:28:39 INFO  Crawler:265 - [Progress 148] save : 36, err : 3, remain_work : 6, total : 154
2018-11-05 20:28:42 INFO  Crawler:265 - [Progress 149] save : 36, err : 3, remain_work : 5, total : 154
2018-11-05 20:28:45 INFO  Crawler:265 - [Progress 150] save : 36, err : 3, remain_work : 4, total : 154
2018-11-05 20:28:48 INFO  Crawler:265 - [Progress 151] save : 36, err : 3, remain_work : 3, total : 154
2018-11-05 20:28:51 INFO  Crawler:265 - [Progress 152] save : 36, err : 3, remain_work : 2, total : 154
2018-11-05 20:28:54 INFO  Crawler:265 - [Progress 153] save : 37, err : 3, remain_work : 1, total : 154
2018-11-05 20:28:57 ERROR Crawler:258 - [ERR URL] https://news.naver.com///main/list.nhn?mode=LPOD&date=20181102&mid=sec&oid=138&listType=title
2018-11-05 20:28:57 ERROR Crawler:261 - L ERR_SCEN_ELEMENT : #main_content > div.paging > a
2018-11-05 20:28:57 INFO  Crawler:265 - [Progress 154] save : 37, err : 4, remain_work : 51, total : 205
2018-11-05 20:29:00 INFO  Crawler:265 - [Progress 155] save : 37, err : 4, remain_work : 50, total : 205
2018-11-05 20:29:04 INFO  Crawler:265 - [Progress 156] save : 37, err : 4, remain_work : 49, total : 205
2018-11-05 20:29:07 INFO  Crawler:265 - [Progress 157] save : 37, err : 4, remain_work : 48, total : 205
2018-11-05 20:29:10 INFO  Crawler:265 - [Progress 158] save : 37, err : 4, remain_work : 47, total : 205
2018-11-05 20:29:13 INFO  Crawler:265 - [Progress 159] save : 37, err : 4, remain_work : 46, total : 205
2018-11-05 20:29:16 INFO  Crawler:265 - [Progress 160] save : 37, err : 4, remain_work : 45, total : 205
2018-11-05 20:29:19 INFO  Crawler:265 - [Progress 161] save : 37, err : 4, remain_work : 44, total : 205
2018-11-05 20:29:22 INFO  Crawler:265 - [Progress 162] save : 37, err : 4, remain_work : 43, total : 205
2018-11-05 20:29:25 INFO  Crawler:265 - [Progress 163] save : 37, err : 4, remain_work : 42, total : 205
2018-11-05 20:29:28 INFO  Crawler:265 - [Progress 164] save : 37, err : 4, remain_work : 41, total : 205
2018-11-05 20:29:32 INFO  Crawler:265 - [Progress 165] save : 37, err : 4, remain_work : 40, total : 205
2018-11-05 20:29:35 INFO  Crawler:265 - [Progress 166] save : 37, err : 4, remain_work : 39, total : 205
2018-11-05 20:29:38 INFO  Crawler:265 - [Progress 167] save : 38, err : 4, remain_work : 38, total : 205
2018-11-05 20:29:41 INFO  Crawler:265 - [Progress 168] save : 39, err : 4, remain_work : 37, total : 205
2018-11-05 20:29:44 INFO  Crawler:265 - [Progress 169] save : 39, err : 4, remain_work : 36, total : 205
2018-11-05 20:29:47 INFO  Crawler:265 - [Progress 170] save : 39, err : 4, remain_work : 35, total : 205
2018-11-05 20:29:50 INFO  Crawler:265 - [Progress 171] save : 39, err : 4, remain_work : 34, total : 205
2018-11-05 20:29:53 INFO  Crawler:265 - [Progress 172] save : 40, err : 4, remain_work : 33, total : 205
2018-11-05 20:29:56 INFO  Crawler:265 - [Progress 173] save : 41, err : 4, remain_work : 32, total : 205
2018-11-05 20:29:59 INFO  Crawler:265 - [Progress 174] save : 41, err : 4, remain_work : 31, total : 205
2018-11-05 20:30:03 INFO  Crawler:265 - [Progress 175] save : 41, err : 4, remain_work : 30, total : 205
2018-11-05 20:30:06 INFO  Crawler:265 - [Progress 176] save : 41, err : 4, remain_work : 29, total : 205
2018-11-05 20:30:09 INFO  Crawler:265 - [Progress 177] save : 41, err : 4, remain_work : 28, total : 205
2018-11-05 20:30:12 INFO  Crawler:265 - [Progress 178] save : 41, err : 4, remain_work : 27, total : 205
2018-11-05 20:30:15 INFO  Crawler:265 - [Progress 179] save : 41, err : 4, remain_work : 26, total : 205
2018-11-05 20:30:18 INFO  Crawler:265 - [Progress 180] save : 42, err : 4, remain_work : 25, total : 205
2018-11-05 20:30:21 INFO  Crawler:265 - [Progress 181] save : 43, err : 4, remain_work : 24, total : 205
2018-11-05 20:30:24 INFO  Crawler:265 - [Progress 182] save : 43, err : 4, remain_work : 23, total : 205
2018-11-05 20:30:27 INFO  Crawler:265 - [Progress 183] save : 43, err : 4, remain_work : 22, total : 205
2018-11-05 20:30:31 INFO  Crawler:265 - [Progress 184] save : 44, err : 4, remain_work : 21, total : 205
2018-11-05 20:30:34 INFO  Crawler:265 - [Progress 185] save : 45, err : 4, remain_work : 20, total : 205
2018-11-05 20:30:37 INFO  Crawler:265 - [Progress 186] save : 45, err : 4, remain_work : 19, total : 205
2018-11-05 20:30:40 INFO  Crawler:265 - [Progress 187] save : 45, err : 4, remain_work : 18, total : 205
2018-11-05 20:30:43 INFO  Crawler:265 - [Progress 188] save : 45, err : 4, remain_work : 17, total : 205
2018-11-05 20:30:46 INFO  Crawler:265 - [Progress 189] save : 45, err : 4, remain_work : 16, total : 205
2018-11-05 20:30:49 INFO  Crawler:265 - [Progress 190] save : 45, err : 4, remain_work : 15, total : 205
2018-11-05 20:30:52 INFO  Crawler:265 - [Progress 191] save : 45, err : 4, remain_work : 14, total : 205
2018-11-05 20:30:55 INFO  Crawler:265 - [Progress 192] save : 45, err : 4, remain_work : 13, total : 205
2018-11-05 20:30:59 INFO  Crawler:265 - [Progress 193] save : 45, err : 4, remain_work : 12, total : 205
2018-11-05 20:31:02 INFO  Crawler:265 - [Progress 194] save : 45, err : 4, remain_work : 11, total : 205
2018-11-05 20:31:05 INFO  Crawler:265 - [Progress 195] save : 46, err : 4, remain_work : 10, total : 205
2018-11-05 20:31:08 INFO  Crawler:265 - [Progress 196] save : 46, err : 4, remain_work : 9, total : 205
2018-11-05 20:31:11 INFO  Crawler:265 - [Progress 197] save : 46, err : 4, remain_work : 8, total : 205
2018-11-05 20:31:14 INFO  Crawler:265 - [Progress 198] save : 46, err : 4, remain_work : 7, total : 205
2018-11-05 20:31:17 INFO  Crawler:265 - [Progress 199] save : 46, err : 4, remain_work : 6, total : 205
2018-11-05 20:31:20 INFO  Crawler:265 - [Progress 200] save : 46, err : 4, remain_work : 5, total : 205
2018-11-05 20:31:24 INFO  Crawler:265 - [Progress 201] save : 47, err : 4, remain_work : 4, total : 205
2018-11-05 20:31:27 INFO  Crawler:265 - [Progress 202] save : 47, err : 4, remain_work : 3, total : 205
2018-11-05 20:31:30 INFO  Crawler:265 - [Progress 203] save : 47, err : 4, remain_work : 2, total : 205
2018-11-05 20:31:33 INFO  Crawler:265 - [Progress 204] save : 47, err : 4, remain_work : 1, total : 205
2018-11-05 20:31:36 INFO  Crawler:265 - [Progress 205] save : 47, err : 4, remain_work : 52, total : 257
2018-11-05 20:31:39 INFO  Crawler:265 - [Progress 206] save : 47, err : 4, remain_work : 51, total : 257
2018-11-05 20:31:42 INFO  Crawler:265 - [Progress 207] save : 47, err : 4, remain_work : 50, total : 257
2018-11-05 20:31:45 INFO  Crawler:265 - [Progress 208] save : 47, err : 4, remain_work : 49, total : 257
2018-11-05 20:31:50 INFO  Crawler:265 - [Progress 209] save : 47, err : 4, remain_work : 48, total : 257
2018-11-05 20:31:53 INFO  Crawler:265 - [Progress 210] save : 48, err : 4, remain_work : 47, total : 257
2018-11-05 20:31:56 INFO  Crawler:265 - [Progress 211] save : 48, err : 4, remain_work : 46, total : 257
2018-11-05 20:31:59 INFO  Crawler:265 - [Progress 212] save : 48, err : 4, remain_work : 45, total : 257
2018-11-05 20:32:02 INFO  Crawler:265 - [Progress 213] save : 48, err : 4, remain_work : 44, total : 257
2018-11-05 20:32:05 INFO  Crawler:265 - [Progress 214] save : 48, err : 4, remain_work : 43, total : 257
2018-11-05 20:32:08 INFO  Crawler:265 - [Progress 215] save : 48, err : 4, remain_work : 42, total : 257
2018-11-05 20:32:11 INFO  Crawler:265 - [Progress 216] save : 49, err : 4, remain_work : 41, total : 257
2018-11-05 20:32:16 INFO  Crawler:265 - [Progress 217] save : 49, err : 4, remain_work : 40, total : 257
2018-11-05 20:32:19 INFO  Crawler:265 - [Progress 218] save : 49, err : 4, remain_work : 39, total : 257
2018-11-05 20:32:22 INFO  Crawler:265 - [Progress 219] save : 49, err : 4, remain_work : 38, total : 257
2018-11-05 20:32:25 INFO  Crawler:265 - [Progress 220] save : 49, err : 4, remain_work : 37, total : 257
2018-11-05 20:32:28 INFO  Crawler:265 - [Progress 221] save : 49, err : 4, remain_work : 36, total : 257
2018-11-05 20:32:31 INFO  Crawler:265 - [Progress 222] save : 50, err : 4, remain_work : 35, total : 257
